country,city,date,sewer_length,complaints,resolved,blocks,sewer_billed,sewer_revenue,opex,san_staff,w_staff,propoor_popn
cameroon,Yaounde,Feb 2022,167,666,595,91,602000000.0,567010055,14351000000.0,300,309,75636
cameroon,Yaounde,Mar 2022,167,728,625,102,615000000.0,583396477,15565000000.0,410,456,299515
cameroon,Yaounde,Apr 2022,167,688,614,116,652000000.0,597971160,19261000000.0,392,372,219621
cameroon,Yaounde,May 2022,167,729,584,114,560000000.0,464430597,16682000000.0,571,502,111285
cameroon,Yaounde,Jun 2022,167,537,435,126,727000000.0,625895583,16807000000.0,441,355,262852
cameroon,Yaounde,Jul 2022,167,781,669,86,624000000.0,537924033,17377000000.0,529,343,299692
cameroon,Yaounde,Aug 2022,167,694,569,84,710000000.0,608821171,19080000000.0,313,506,145148
cameroon,Yaounde,Sep 2022,167,726,706,110,738000000.0,657979186,16865000000.0,381,324,208030
cameroon,Yaounde,Oct 2022,167,215,212,119,743000000.0,671855235,19402000000.0,502,390,227299
cameroon,Yaounde,Nov 2022,167,213,202,87,672000000.0,556243300,18182000000.0,596,388,85655
cameroon,Yaounde,Dec 2022,167,534,443,86,694000000.0,639870048,14465000000.0,522,383,90666
cameroon,Yaounde,Jan 2023,194,261,258,100,594000000.0,495922118,20030000000.0,579,362,216514
cameroon,Yaounde,Feb 2023,194,776,756,80,647000000.0,570544946,13541000000.0,556,417,65254
cameroon,Yaounde,Mar 2023,194,443,386,81,643000000.0,570225555,15004000000.0,467,465,303128
cameroon,Yaounde,Apr 2023,194,668,604,115,689000000.0,561011120,17423000000.0,554,339,130880
cameroon,Yaounde,May 2023,194,298,294,115,670000000.0,542457416,18313000000.0,314,308,93605
cameroon,Yaounde,Jun 2023,194,429,422,125,721000000.0,622055554,15722000000.0,366,393,248120
cameroon,Yaounde,Jul 2023,194,787,704,87,631000000.0,564286753,17703000000.0,392,393,233098
cameroon,Yaounde,Aug 2023,194,400,362,96,745000000.0,623566405,15757000000.0,464,445,95416
cameroon,Yaounde,Sep 2023,194,378,363,118,670000000.0,565037150,13583000000.0,345,359,308987
cameroon,Yaounde,Oct 2023,194,299,275,106,733000000.0,669352960,19424000000.0,488,414,232883
cameroon,Yaounde,Nov 2023,194,598,531,98,595000000.0,499818975,12527000000.0,303,332,116315
cameroon,Yaounde,Dec 2023,194,514,416,105,556000000.0,454528113,13313000000.0,300,458,220079
cameroon,Yaounde,Jan 2024,171,372,310,112,707000000.0,576643887,14880000000.0,590,451,287986
cameroon,Yaounde,Feb 2024,171,314,296,84,599000000.0,556195277,20210000000.0,376,324,102064
cameroon,Yaounde,Mar 2024,171,712,674,119,660000000.0,551024794,13152000000.0,315,372,231614
cameroon,Yaounde,Apr 2024,171,250,235,124,611000000.0,559562770,15414000000.0,359,381,139322
cameroon,Yaounde,May 2024,171,551,504,104,690000000.0,573175694,21987000000.0,372,400,280473
cameroon,Yaounde,Jun 2024,171,512,470,105,712000000.0,644750556,17839000000.0,361,520,326550
cameroon,Yaounde,Jul 2024,171,331,320,97,606000000.0,533493770,14102000000.0,432,504,151917
cameroon,Yaounde,Aug 2024,171,330,307,87,638000000.0,577050448,17649000000.0,340,471,78601
cameroon,Yaounde,Sep 2024,171,434,426,118,611000000.0,513199071,16410000000.0,488,394,320779
cameroon,Yaounde,Oct 2024,171,607,600,118,580000000.0,528518527,15407000000.0,597,428,327419
cameroon,Yaounde,Nov 2024,171,771,695,129,689000000.0,626729359,14875000000.0,473,456,260739
cameroon,Yaounde,Dec 2024,171,412,376,97,617000000.0,500924282,12295000000.0,444,412,192813
