date,source,production_m3,service_hours,country,production_m3_per_hour
2020-01-26,Mvog-Betsi River,23072,21.46236623,Cameroon,1074.997964
2020-01-27,Ndindan Reservoir,23641,20.57432548,Cameroon,1149.053466
2020-01-28,Mvog-Betsi River,22817,22.11498397,Cameroon,1031.743908
2020-01-29,Mvog-Betsi River,17581,22.62360243,Cameroon,777.1087762
2020-01-30,Ndindan Reservoir,23032,10.49126804,Cameroon,2195.349496
2020-01-31,Ndindan Reservoir,23570,22.89324113,Cameroon,1029.561514
2020-02-01,Ndindan Reservoir,21101,22.62839228,Cameroon,932.5010693
2020-02-02,Ndindan Reservoir,20615,20.84793236,Cameroon,988.8270761
2020-02-03,Ndindan Reservoir,23625,22.24266428,Cameroon,1062.147938
2020-02-04,Mvog-Betsi River,22206,21.97910826,Cameroon,1010.323064
2020-02-05,Mvog-Betsi River,21381,21.23216503,Cameroon,1007.009882
2020-02-06,Mvog-Betsi River,18883,19.0869659,Cameroon,989.3138645
2020-02-07,Ndindan Reservoir,20036,20.98440992,Cameroon,954.8040701
2020-02-08,Ndindan Reservoir,25342,22.05650516,Cameroon,1148.958088
2020-02-09,Mvog-Betsi River,20918,20.34822462,Cameroon,1028.001233
2020-02-10,Mvog-Betsi River,24092,22.55137485,Cameroon,1068.316241
2020-02-11,Mvog-Betsi River,22390,21.64971852,Cameroon,1034.193584
2020-02-12,Ndindan Reservoir,21614,22.07023228,Cameroon,979.3281616
2020-02-13,Ndindan Reservoir,23191,21.81570737,Cameroon,1063.041395
2020-02-14,Mvog-Betsi River,21097,23.85623012,Cameroon,884.3392226
2020-02-15,Ndindan Reservoir,20917,23.53162872,Cameroon,888.8887482
2020-02-16,Mvog-Betsi River,24583,23.84709197,Cameroon,1030.859445
2020-02-17,Ndindan Reservoir,20603,20.81891956,Cameroon,989.6286858
2020-02-18,Ndindan Reservoir,27452,20.0734622,Cameroon,1367.57674
2020-02-19,Ndindan Reservoir,21604,23.92147292,Cameroon,903.1216463
2020-02-20,Ndindan Reservoir,19491,18.31232757,Cameroon,1064.364971
2020-02-21,Mvog-Betsi River,21939,22.68985993,Cameroon,966.9076876
2020-02-22,Mvog-Betsi River,23567,20.49771238,Cameroon,1149.738057
2020-02-23,Ndindan Reservoir,22008,20.60979216,Cameroon,1067.841918
2020-02-24,Ndindan Reservoir,25054,23.79429799,Cameroon,1052.941339
2020-02-25,Mvog-Betsi River,22714,20.01073885,Cameroon,1135.090522
2020-02-26,Ndindan Reservoir,20301,22.02585623,Cameroon,921.6894809
2020-02-27,Ndindan Reservoir,21684,21.55233536,Cameroon,1006.109066
2020-02-28,Mvog-Betsi River,21115,21.7473979,Cameroon,970.9207556
2020-02-29,Ndindan Reservoir,20817,20.26009613,Cameroon,1027.487721
2020-03-01,Ndindan Reservoir,19293,17.62779321,Cameroon,1094.464847
2020-03-02,Ndindan Reservoir,23297,23.32624125,Cameroon,998.7464224
2020-03-03,Mvog-Betsi River,21038,23.22976009,Cameroon,905.6486128
2020-03-04,Ndindan Reservoir,23933,20.25726924,Cameroon,1181.452431
2020-03-05,Ndindan Reservoir,25171,22.92348009,Cameroon,1098.044446
2020-03-06,Ndindan Reservoir,25355,23.77022515,Cameroon,1066.670586
2020-03-07,Mvog-Betsi River,21918,22.04019855,Cameroon,994.4556511
2020-03-08,Ndindan Reservoir,24047,23.49280466,Cameroon,1023.590003
2020-03-09,Ndindan Reservoir,24397,22.58267064,Cameroon,1080.341665
2020-03-10,Ndindan Reservoir,19870,21.46506351,Cameroon,925.6902498
2020-03-11,Mvog-Betsi River,20350,22.97224932,Cameroon,885.8514341
2020-03-12,Mvog-Betsi River,18420,21.26613844,Cameroon,866.1657147
2020-03-13,Ndindan Reservoir,21014,21.78693658,Cameroon,964.5229341
2020-03-14,Mvog-Betsi River,24177,20.57008113,Cameroon,1175.34782
2020-03-15,Mvog-Betsi River,18140,19.53465841,Cameroon,928.6059483
2020-03-16,Mvog-Betsi River,23206,21.89933036,Cameroon,1059.667105
2020-03-17,Ndindan Reservoir,20824,23.66719987,Cameroon,879.8675007
2020-03-18,Mvog-Betsi River,22463,21.37204529,Cameroon,1051.045873
2020-03-19,Mvog-Betsi River,22474,20.97915216,Cameroon,1071.253968
2020-03-20,Ndindan Reservoir,20919,22.2552379,Cameroon,939.9584986
2020-03-21,Mvog-Betsi River,22944,20.27626752,Cameroon,1131.569209
2020-03-22,Mvog-Betsi River,23165,23.73613872,Cameroon,975.9380107
2020-03-23,Mvog-Betsi River,20528,21.51869473,Cameroon,953.9612072
2020-03-24,Ndindan Reservoir,23479,23.07540551,Cameroon,1017.490245
2020-03-25,Mvog-Betsi River,24389,21.69727778,Cameroon,1124.058061
2020-03-26,Ndindan Reservoir,20146,23.33399347,Cameroon,863.3755738
2020-03-27,Ndindan Reservoir,22352,23.35569714,Cameroon,957.025597
2020-03-28,Ndindan Reservoir,20464,22.8008557,Cameroon,897.5101755
2020-03-29,Ndindan Reservoir,29161,22.95966542,Cameroon,1270.096906
2020-03-30,Mvog-Betsi River,27183,23.56210731,Cameroon,1153.674399
2020-03-31,Mvog-Betsi River,22168,22.2132498,Cameroon,997.9629365
2020-04-01,Ndindan Reservoir,21974,16.72651951,Cameroon,1313.722199
2020-04-02,Mvog-Betsi River,25465,22.73837477,Cameroon,1119.912934
2020-04-03,Ndindan Reservoir,21798,23.07078402,Cameroon,944.8313496
2020-04-04,Ndindan Reservoir,24972,23.05543882,Cameroon,1083.128376
2020-04-05,Ndindan Reservoir,23707,22.1950235,Cameroon,1068.122321
2020-04-06,Ndindan Reservoir,23147,21.63223815,Cameroon,1070.023353
2020-04-07,Mvog-Betsi River,21217,20.71750455,Cameroon,1024.109827
2020-04-08,Ndindan Reservoir,24090,21.60765074,Cameroon,1114.882885
2020-04-09,Ndindan Reservoir,23783,20.13905911,Cameroon,1180.938984
2020-04-10,Mvog-Betsi River,23407,20.21691596,Cameroon,1157.792813
2020-04-11,Mvog-Betsi River,21569,23.27927259,Cameroon,926.5323868
2020-04-12,Ndindan Reservoir,21263,21.77872952,Cameroon,976.3195773
2020-04-13,Mvog-Betsi River,22896,21.60744363,Cameroon,1059.634837
2020-04-14,Ndindan Reservoir,24130,20.71513334,Cameroon,1164.848886
2020-04-15,Mvog-Betsi River,18967,20.98245658,Cameroon,903.9456331
2020-04-16,Ndindan Reservoir,18559,17.72810113,Cameroon,1046.869028
2020-04-17,Mvog-Betsi River,21901,20.10605352,Cameroon,1089.273933
2020-04-18,Mvog-Betsi River,20396,20.1937741,Cameroon,1010.01427
2020-04-19,Ndindan Reservoir,22943,23.72242046,Cameroon,967.1441426
2020-04-20,Ndindan Reservoir,26787,23.74295277,Cameroon,1128.208452
2020-04-21,Ndindan Reservoir,24498,12.79725027,Cameroon,1914.317489
2020-04-22,Ndindan Reservoir,17139,20.12958566,Cameroon,851.4333226
2020-04-23,Ndindan Reservoir,24223,23.52482403,Cameroon,1029.678265
2020-04-24,Mvog-Betsi River,25379,22.80193753,Cameroon,1113.019452
2020-04-25,Mvog-Betsi River,24464,21.91665996,Cameroon,1116.228478
2020-04-26,Ndindan Reservoir,31046,23.30031266,Cameroon,1332.428472
2020-04-27,Ndindan Reservoir,20774,21.60037225,Cameroon,961.7426849
2020-04-28,Ndindan Reservoir,22351,23.81427297,Cameroon,938.5547916
2020-04-29,Ndindan Reservoir,24392,22.76089012,Cameroon,1071.662833
2020-04-30,Mvog-Betsi River,22592,23.77704636,Cameroon,950.1600684
2020-05-01,Ndindan Reservoir,23187,22.49881142,Cameroon,1030.587775
2020-05-02,Mvog-Betsi River,17969,20.51977247,Cameroon,875.691971
2020-05-03,Ndindan Reservoir,25905,20.97432603,Cameroon,1235.081402
2020-05-04,Mvog-Betsi River,22227,22.02048377,Cameroon,1009.378369
2020-05-05,Ndindan Reservoir,17961,18.9875167,Cameroon,945.9372853
2020-05-06,Ndindan Reservoir,26821,23.50050749,Cameroon,1141.294502
2020-05-07,Mvog-Betsi River,23197,22.16691519,Cameroon,1046.46947
2020-05-08,Ndindan Reservoir,26003,23.94458235,Cameroon,1085.965903
2020-05-09,Mvog-Betsi River,22625,22.02151662,Cameroon,1027.404261
2020-05-10,Mvog-Betsi River,21650,23.74845424,Cameroon,911.6382812
2020-05-11,Mvog-Betsi River,23437,20.22462899,Cameroon,1158.834608
2020-05-12,Mvog-Betsi River,21559,20.32929716,Cameroon,1060.489196
2020-05-13,Ndindan Reservoir,22847,20.45428196,Cameroon,1116.978833
2020-05-14,Mvog-Betsi River,19665,22.30585515,Cameroon,881.6070878
2020-05-15,Mvog-Betsi River,19405,21.36998471,Cameroon,908.0493161
2020-05-16,Mvog-Betsi River,23661,22.03723539,Cameroon,1073.682773
2020-05-17,Ndindan Reservoir,21684,12.31085881,Cameroon,1761.371837
2020-05-18,Ndindan Reservoir,21203,23.46375865,Cameroon,903.6489131
2020-05-19,Mvog-Betsi River,22293,23.46179323,Cameroon,950.1831245
2020-05-20,Mvog-Betsi River,20418,20.58638679,Cameroon,991.8204787
2020-05-21,Mvog-Betsi River,22013,21.87531475,Cameroon,1006.294092
2020-05-22,Ndindan Reservoir,22843,21.35506277,Cameroon,1069.676088
2020-05-23,Mvog-Betsi River,25064,23.57169979,Cameroon,1063.308977
2020-05-24,Mvog-Betsi River,19570,17.68890979,Cameroon,1106.342914
2020-05-25,Ndindan Reservoir,25260,20.31285748,Cameroon,1243.547345
2020-05-26,Ndindan Reservoir,21882,12.91125242,Cameroon,1694.800728
2020-05-27,Ndindan Reservoir,20632,20.79519948,Cameroon,992.15206
2020-05-28,Mvog-Betsi River,21613,23.79630666,Cameroon,908.2501879
2020-05-29,Ndindan Reservoir,24089,22.55602965,Cameroon,1067.962774
2020-05-30,Mvog-Betsi River,21993,22.82037622,Cameroon,963.7439711
2020-05-31,Mvog-Betsi River,20800,21.24898948,Cameroon,978.8700786
2020-06-01,Ndindan Reservoir,20690,20.4637953,Cameroon,1011.053898
2020-06-02,Mvog-Betsi River,20690,22.29961949,Cameroon,927.8185221
2020-06-03,Mvog-Betsi River,23909,22.07993052,Cameroon,1082.838552
2020-06-04,Mvog-Betsi River,20627,21.91425687,Cameroon,941.2593875
2020-06-05,Mvog-Betsi River,21319,20.11637148,Cameroon,1059.783571
2020-06-06,Ndindan Reservoir,21297,20.51616444,Cameroon,1038.059529
2020-06-07,Mvog-Betsi River,23905,22.62243507,Cameroon,1056.69438
2020-06-08,Mvog-Betsi River,21046,21.43518236,Cameroon,981.8437579
2020-06-09,Mvog-Betsi River,22938,23.38879952,Cameroon,980.7258376
2020-06-10,Ndindan Reservoir,21615,23.40685629,Cameroon,923.4473751
2020-06-11,Ndindan Reservoir,21758,22.29105642,Cameroon,976.0865338
2020-06-12,Mvog-Betsi River,25175,22.87067168,Cameroon,1100.754729
2020-06-13,Ndindan Reservoir,24347,20.61535232,Cameroon,1181.013044
2020-06-14,Mvog-Betsi River,25177,23.12567363,Cameroon,1088.703421
2020-06-15,Ndindan Reservoir,24101,20.12232981,Cameroon,1197.724132
2020-06-16,Ndindan Reservoir,22775,23.9673429,Cameroon,950.251352
2020-06-17,Mvog-Betsi River,18279,19.11664775,Cameroon,956.182289
2020-06-18,Mvog-Betsi River,20587,21.11842164,Cameroon,974.8361101
2020-06-19,Ndindan Reservoir,24069,23.07274597,Cameroon,1043.178824
2020-06-20,Ndindan Reservoir,18199,17.80253848,Cameroon,1022.269943
2020-06-21,Mvog-Betsi River,23924,21.87539201,Cameroon,1093.648973
2020-06-22,Ndindan Reservoir,24685,23.1460264,Cameroon,1066.489754
2020-06-23,Ndindan Reservoir,22085,23.44046942,Cameroon,942.1739645
2020-06-24,Ndindan Reservoir,19769,15.53689559,Cameroon,1272.390606
2020-06-25,Mvog-Betsi River,20429,21.00326294,Cameroon,972.6583938
2020-06-26,Ndindan Reservoir,21444,23.2372522,Cameroon,922.8285607
2020-06-27,Mvog-Betsi River,21448,21.24736249,Cameroon,1009.442937
2020-06-28,Ndindan Reservoir,22839,21.7102653,Cameroon,1051.990829
2020-06-29,Mvog-Betsi River,23178,21.99207293,Cameroon,1053.925206
2020-06-30,Ndindan Reservoir,23643,23.90979281,Cameroon,988.8416929
2020-07-01,Mvog-Betsi River,23679,22.17380719,Cameroon,1067.881568
2020-07-02,Ndindan Reservoir,21809,20.26524373,Cameroon,1076.177533
2020-07-03,Ndindan Reservoir,23364,23.74089515,Cameroon,984.1246445
2020-07-04,Mvog-Betsi River,18634,21.22949151,Cameroon,877.7412303
2020-07-05,Mvog-Betsi River,25823,20.76023462,Cameroon,1243.868409
2020-07-06,Ndindan Reservoir,23407,23.68258966,Cameroon,988.3631958
2020-07-07,Mvog-Betsi River,22478,22.03856531,Cameroon,1019.939351
2020-07-08,Mvog-Betsi River,20135,20.95663031,Cameroon,960.7937777
2020-07-09,Ndindan Reservoir,24823,22.15196443,Cameroon,1120.577819
2020-07-10,Ndindan Reservoir,23473,20.32487351,Cameroon,1154.890336
2020-07-11,Mvog-Betsi River,25401,20.89455265,Cameroon,1215.675704
2020-07-12,Mvog-Betsi River,21515,23.00898733,Cameroon,935.0694008
2020-07-13,Mvog-Betsi River,24302,20.86967372,Cameroon,1164.464779
2020-07-14,Ndindan Reservoir,22494,21.90299954,Cameroon,1026.982627
2020-07-15,Ndindan Reservoir,19578,17.42290012,Cameroon,1123.693522
2020-07-16,Mvog-Betsi River,21791,20.03115538,Cameroon,1087.855373
2020-07-17,Ndindan Reservoir,22582,21.68299256,Cameroon,1041.46141
2020-07-18,Mvog-Betsi River,21935,20.02760931,Cameroon,1095.238061
2020-07-19,Mvog-Betsi River,19248,22.25143828,Cameroon,865.022735
2020-07-20,Ndindan Reservoir,20855,22.14713453,Cameroon,941.6568077
2020-07-21,Mvog-Betsi River,23450,23.10148267,Cameroon,1015.086362
2020-07-22,Mvog-Betsi River,25196,22.55757697,Cameroon,1116.963938
2020-07-23,Ndindan Reservoir,19634,18.4734148,Cameroon,1062.824617
2020-07-24,Mvog-Betsi River,28110,20.70153818,Cameroon,1357.870113
2020-07-25,Ndindan Reservoir,24134,20.43838151,Cameroon,1180.817571
2020-07-26,Ndindan Reservoir,22730,23.86851971,Cameroon,952.3003639
2020-07-27,Mvog-Betsi River,23447,22.80035872,Cameroon,1028.361013
2020-07-28,Mvog-Betsi River,21391,23.79508975,Cameroon,898.9669812
2020-07-29,Mvog-Betsi River,22048,21.83490336,Cameroon,1009.75945
2020-07-30,Ndindan Reservoir,20988,23.92442784,Cameroon,877.2623589
2020-07-31,Mvog-Betsi River,21101,22.70837381,Cameroon,929.2166925
2020-08-01,Ndindan Reservoir,21566,22.35074119,Cameroon,964.8897019
2020-08-02,Mvog-Betsi River,24056,21.54605837,Cameroon,1116.491916
2020-08-03,Mvog-Betsi River,21741,20.84565662,Cameroon,1042.951076
2020-08-04,Mvog-Betsi River,26310,21.81817692,Cameroon,1205.87527
2020-08-05,Mvog-Betsi River,26095,22.99740553,Cameroon,1134.693214
2020-08-06,Mvog-Betsi River,21200,23.11406287,Cameroon,917.1905484
2020-08-07,Mvog-Betsi River,22453,22.94788002,Cameroon,978.4346083
2020-08-08,Mvog-Betsi River,37572,20.32600349,Cameroon,1848.469622
2020-08-09,Ndindan Reservoir,20956,21.46669436,Cameroon,976.2099209
2020-08-10,Mvog-Betsi River,20410,23.63822918,Cameroon,863.4318522
2020-08-11,Mvog-Betsi River,20720,20.50012267,Cameroon,1010.725659
2020-08-12,Ndindan Reservoir,21112,22.14712901,Cameroon,953.2612554
2020-08-13,Mvog-Betsi River,18697,21.20033928,Cameroon,881.919848
2020-08-14,Ndindan Reservoir,22080,22.27807319,Cameroon,991.1090521
2020-08-15,Mvog-Betsi River,25881,21.63297297,Cameroon,1196.368157
2020-08-16,Mvog-Betsi River,23492,23.36724645,Cameroon,1005.338821
2020-08-17,Mvog-Betsi River,21728,21.59864639,Cameroon,1005.988968
2020-08-18,Ndindan Reservoir,19530,18.63836514,Cameroon,1047.838684
2020-08-19,Ndindan Reservoir,24999,21.47437426,Cameroon,1164.131709
2020-08-20,Mvog-Betsi River,21969,22.08587572,Cameroon,994.7081236
2020-08-21,Mvog-Betsi River,20003,21.84313912,Cameroon,915.7566542
2020-08-22,Ndindan Reservoir,20290,22.32808623,Cameroon,908.7209619
2020-08-23,Ndindan Reservoir,34125,23.9464618,Cameroon,1425.053951
2020-08-24,Mvog-Betsi River,23183,18.38899308,Cameroon,1260.699806
2020-08-25,Mvog-Betsi River,25614,21.81095674,Cameroon,1174.36389
2020-08-26,Mvog-Betsi River,22968,22.24621842,Cameroon,1032.445136
2020-08-27,Mvog-Betsi River,18243,22.22372546,Cameroon,820.8794711
2020-08-28,Ndindan Reservoir,19960,22.04400535,Cameroon,905.4615839
2020-08-29,Mvog-Betsi River,22645,22.46100718,Cameroon,1008.191655
2020-08-30,Ndindan Reservoir,21707,21.98560235,Cameroon,987.3279639
2020-08-31,Ndindan Reservoir,20473,20.81563516,Cameroon,983.5395289
2020-09-01,Mvog-Betsi River,21184,23.45020131,Cameroon,903.361115
2020-09-02,Ndindan Reservoir,24606,21.5005903,Cameroon,1144.433695
2020-09-03,Ndindan Reservoir,23262,23.27870212,Cameroon,999.282515
2020-09-04,Ndindan Reservoir,23153,21.7063483,Cameroon,1066.64648
2020-09-05,Ndindan Reservoir,20812,20.10790722,Cameroon,1035.015717
2020-09-06,Ndindan Reservoir,22177,23.11683157,Cameroon,959.3442738
2020-09-07,Ndindan Reservoir,24676,20.03934267,Cameroon,1231.377715
2020-09-08,Ndindan Reservoir,22929,22.58322741,Cameroon,1015.311035
2020-09-09,Mvog-Betsi River,23721,21.88218724,Cameroon,1084.032402
2020-09-10,Ndindan Reservoir,22654,20.70876389,Cameroon,1093.93299
2020-09-11,Ndindan Reservoir,19524,9.830567031,Cameroon,1986.050239
2020-09-12,Mvog-Betsi River,23432,23.32979412,Cameroon,1004.380916
2020-09-13,Mvog-Betsi River,22696,21.03975816,Cameroon,1078.719624
2020-09-14,Ndindan Reservoir,29830,22.92362247,Cameroon,1301.277756
2020-09-15,Mvog-Betsi River,23896,21.729255,Cameroon,1099.715568
2020-09-16,Mvog-Betsi River,22289,21.03947373,Cameroon,1059.389616
2020-09-17,Mvog-Betsi River,21884,22.55994735,Cameroon,970.0377251
2020-09-18,Ndindan Reservoir,20062,12.16032468,Cameroon,1649.791476
2020-09-19,Mvog-Betsi River,21766,23.44717971,Cameroon,928.2992783
2020-09-20,Mvog-Betsi River,28182,22.86257163,Cameroon,1232.66973
2020-09-21,Mvog-Betsi River,25878,23.43273265,Cameroon,1104.352633
2020-09-22,Ndindan Reservoir,19818,20.26866226,Cameroon,977.7655647
2020-09-23,Ndindan Reservoir,20307,22.32133229,Cameroon,909.7575243
2020-09-24,Ndindan Reservoir,19202,19.02518272,Cameroon,1009.293854
2020-09-25,Ndindan Reservoir,19279,19.79135609,Cameroon,974.1121284
2020-09-26,Ndindan Reservoir,24107,23.49065938,Cameroon,1026.237689
2020-09-27,Mvog-Betsi River,22278,23.46993211,Cameroon,949.2145055
2020-09-28,Mvog-Betsi River,22280,21.94670963,Cameroon,1015.186348
2020-09-29,Mvog-Betsi River,16768,20.49670996,Cameroon,818.0825135
2020-09-30,Mvog-Betsi River,20276,21.59835593,Cameroon,938.775158
2020-10-01,Ndindan Reservoir,24402,19.93441308,Cameroon,1224.114294
2020-10-02,Mvog-Betsi River,21157,23.92488314,Cameroon,884.3094395
2020-10-03,Ndindan Reservoir,22509,20.10291241,Cameroon,1119.688508
2020-10-04,Ndindan Reservoir,24023,21.72278875,Cameroon,1105.889316
2020-10-05,Mvog-Betsi River,22657,23.09515327,Cameroon,981.0283454
2020-10-06,Ndindan Reservoir,20280,14.37964337,Cameroon,1410.327049
2020-10-07,Ndindan Reservoir,23557,20.65549822,Cameroon,1140.471159
2020-10-08,Mvog-Betsi River,23845,23.48238765,Cameroon,1015.441886
2020-10-09,Ndindan Reservoir,23023,20.70637568,Cameroon,1111.879759
2020-10-10,Mvog-Betsi River,22594,19.75415131,Cameroon,1143.75959
2020-10-11,Ndindan Reservoir,22211,21.61155324,Cameroon,1027.737329
2020-10-12,Ndindan Reservoir,24173,21.17575903,Cameroon,1141.541135
2020-10-13,Mvog-Betsi River,26848,22.65221558,Cameroon,1185.226227
2020-10-14,Ndindan Reservoir,22968,23.53959345,Cameroon,975.7177859
2020-10-15,Mvog-Betsi River,20024,20.63918737,Cameroon,970.1932367
2020-10-16,Mvog-Betsi River,22615,20.43286217,Cameroon,1106.795505
2020-10-17,Ndindan Reservoir,28314,22.53635877,Cameroon,1256.369775
2020-10-18,Ndindan Reservoir,19644,20.36846822,Cameroon,964.4318754
2020-10-19,Mvog-Betsi River,21589,22.24150901,Cameroon,970.6625566
2020-10-20,Mvog-Betsi River,23557,20.32029243,Cameroon,1159.284498
2020-10-21,Mvog-Betsi River,22284,23.72442942,Cameroon,939.284971
2020-10-22,Mvog-Betsi River,20614,20.74535535,Cameroon,993.6682045
2020-10-23,Ndindan Reservoir,21045,22.50442276,Cameroon,935.1495138
2020-10-24,Mvog-Betsi River,21816,23.02696181,Cameroon,947.4111341
2020-10-25,Ndindan Reservoir,23145,23.41796341,Cameroon,988.343845
2020-10-26,Ndindan Reservoir,18889,18.14970243,Cameroon,1040.733316
2020-10-27,Mvog-Betsi River,21644,20.6815264,Cameroon,1046.537842
2020-10-28,Ndindan Reservoir,23353,21.32615006,Cameroon,1095.040593
2020-10-29,Ndindan Reservoir,21729,20.54184197,Cameroon,1057.79219
2020-10-30,Mvog-Betsi River,22715,22.52520074,Cameroon,1008.426085
2020-10-31,Mvog-Betsi River,21207,22.47958612,Cameroon,943.3892551
2020-11-01,Ndindan Reservoir,22890,21.68278439,Cameroon,1055.676226
2020-11-02,Mvog-Betsi River,22342,23.88088919,Cameroon,935.5598036
2020-11-03,Mvog-Betsi River,19836,18.03171147,Cameroon,1100.061968
2020-11-04,Ndindan Reservoir,23504,22.21099175,Cameroon,1058.214791
2020-11-05,Ndindan Reservoir,23782,23.55422244,Cameroon,1009.670349
2020-11-06,Ndindan Reservoir,22738,21.36917689,Cameroon,1064.055959
2020-11-07,Mvog-Betsi River,22928,23.12566946,Cameroon,991.452379
2020-11-08,Mvog-Betsi River,22852,22.31115143,Cameroon,1024.241177
2020-11-09,Mvog-Betsi River,24037,22.76572096,Cameroon,1055.841809
2020-11-10,Mvog-Betsi River,19914,19.56092244,Cameroon,1018.050149
2020-11-11,Mvog-Betsi River,20826,23.31719542,Cameroon,893.160589
2020-11-12,Mvog-Betsi River,23183,21.48316558,Cameroon,1079.12402
2020-11-13,Mvog-Betsi River,22957,20.43468579,Cameroon,1123.432982
2020-11-14,Ndindan Reservoir,22640,20.17368046,Cameroon,1122.254318
2020-11-15,Ndindan Reservoir,22556,20.28227641,Cameroon,1112.103964
2020-11-16,Mvog-Betsi River,15125,18.28125955,Cameroon,827.3499951
2020-11-17,Mvog-Betsi River,23063,22.59661445,Cameroon,1020.639621
2020-11-18,Ndindan Reservoir,22991,20.90334809,Cameroon,1099.871652
2020-11-19,Ndindan Reservoir,20870,21.43665012,Cameroon,973.5662932
2020-11-20,Ndindan Reservoir,25375,21.6098454,Cameroon,1174.233296
2020-11-21,Mvog-Betsi River,25178,22.37814084,Cameroon,1125.115807
2020-11-22,Ndindan Reservoir,23274,21.22164345,Cameroon,1096.710538
2020-11-23,Mvog-Betsi River,26824,20.67411956,Cameroon,1297.467586
2020-11-24,Mvog-Betsi River,23782,22.00651499,Cameroon,1080.679972
2020-11-25,Mvog-Betsi River,22022,22.03543542,Cameroon,999.3902812
2020-11-26,Mvog-Betsi River,17800,20.82805988,Cameroon,854.6163253
2020-11-27,Ndindan Reservoir,23894,22.66983287,Cameroon,1053.999831
2020-11-28,Mvog-Betsi River,22506,21.21981804,Cameroon,1060.612299
2020-11-29,Ndindan Reservoir,23926,22.71672801,Cameroon,1053.232666
2020-11-30,Ndindan Reservoir,21701,21.68336761,Cameroon,1000.813176
2020-12-01,Mvog-Betsi River,19782,20.79516728,Cameroon,951.2787146
2020-12-02,Mvog-Betsi River,23395,21.18946688,Cameroon,1104.086296
2020-12-03,Ndindan Reservoir,24825,22.07875276,Cameroon,1124.384166
2020-12-04,Mvog-Betsi River,20024,21.71895768,Cameroon,921.9595293
2020-12-05,Mvog-Betsi River,19972,19.36917873,Cameroon,1031.122707
2020-12-06,Mvog-Betsi River,24928,22.88592341,Cameroon,1089.228499
2020-12-07,Ndindan Reservoir,23024,20.90904465,Cameroon,1101.150262
2020-12-08,Ndindan Reservoir,20490,13.01127587,Cameroon,1574.787915
2020-12-09,Ndindan Reservoir,18874,20.65978726,Cameroon,913.5621663
2020-12-10,Ndindan Reservoir,23946,23.41964401,Cameroon,1022.474978
2020-12-11,Ndindan Reservoir,19257,21.71302046,Cameroon,886.8872035
2020-12-12,Mvog-Betsi River,26221,20.96580902,Cameroon,1250.655292
2020-12-13,Ndindan Reservoir,21814,23.67722863,Cameroon,921.3071489
2020-12-14,Ndindan Reservoir,22758,23.96334547,Cameroon,949.7004511
2020-12-15,Ndindan Reservoir,22215,21.80780298,Cameroon,1018.672079
2020-12-16,Ndindan Reservoir,22323,21.24939617,Cameroon,1050.523969
2020-12-17,Mvog-Betsi River,18538,20.12329415,Cameroon,921.2209426
2020-12-18,Ndindan Reservoir,20592,21.9597572,Cameroon,937.7152858
2020-12-19,Mvog-Betsi River,24661,20.43641185,Cameroon,1206.718683
2020-12-20,Mvog-Betsi River,22057,20.63241081,Cameroon,1069.046182
2020-12-21,Ndindan Reservoir,23779,22.14319779,Cameroon,1073.873802
2020-12-22,Mvog-Betsi River,20749,19.43979474,Cameroon,1067.346661
2020-12-23,Ndindan Reservoir,22055,21.53689968,Cameroon,1024.056402
