country,city,date,sewer_length,complaints,resolved,blocks,sewer_billed,sewer_revenue,opex,san_staff,w_staff,propoor_popn
malawi,Lilongwe,Mar 2023,171,564,452,114,616000000.0,530005003,14082000000.0,244,321,111250
malawi,Lilongwe,Apr 2023,171,688,566,111,533000000.0,412794624,14824000000.0,251,323,85100
malawi,Lilongwe,May 2023,171,304,289,133,621000000.0,577261576,15459000000.0,286,265,111970
malawi,Lilongwe,Jun 2023,171,486,359,116,603000000.0,547200401,13255000000.0,229,354,36071
malawi,Lilongwe,Jul 2023,171,482,342,147,616000000.0,480424423,14044000000.0,295,364,104923
malawi,Lilongwe,Aug 2023,171,648,503,129,558000000.0,438953490,11499000000.0,216,208,63445
malawi,Lilongwe,Sep 2023,171,642,539,147,559000000.0,467622572,15459000000.0,228,392,28086
malawi,Lilongwe,Oct 2023,171,594,437,140,581000000.0,414391372,15434000000.0,264,344,109009
malawi,Lilongwe,Nov 2023,171,617,515,123,620000000.0,495083885,13623000000.0,256,305,64227
malawi,Lilongwe,Dec 2023,171,555,449,118,539000000.0,456201127,13020000000.0,274,343,103396
malawi,Lilongwe,Jan 2024,100,311,281,119,540000000.0,379778638,11868000000.0,274,251,110204
malawi,Lilongwe,Feb 2024,100,499,468,113,641000000.0,455538077,10636000000.0,335,320,109551
malawi,Lilongwe,Mar 2024,100,432,348,148,477000000.0,410487449,14937000000.0,227,245,110512
malawi,Lilongwe,Apr 2024,100,390,356,127,552000000.0,433699765,8448000000.0,257,247,55409
malawi,Lilongwe,May 2024,100,313,242,140,621000000.0,527736546,14012000000.0,213,336,97335
malawi,Lilongwe,Jun 2024,100,651,530,110,472000000.0,372697805,10492000000.0,272,288,32809
malawi,Lilongwe,Jul 2024,100,476,443,135,492000000.0,365649596,13424000000.0,226,208,87343
malawi,Lilongwe,Aug 2024,100,550,518,107,499000000.0,408104506,15666000000.0,320,361,79671
malawi,Lilongwe,Sep 2024,100,432,426,114,487000000.0,424688004,8309000000.0,370,232,92926
malawi,Lilongwe,Oct 2024,100,675,487,126,590000000.0,510436330,8733000000.0,321,358,128531
malawi,Lilongwe,Nov 2024,100,532,530,135,567000000.0,468056496,14035000000.0,296,365,73274
malawi,Lilongwe,Dec 2024,100,573,476,139,562000000.0,515533225,9883000000.0,251,385,125915
