country,city,date,sewer_length,complaints,resolved,blocks,sewer_billed,sewer_revenue,opex,san_staff,w_staff,propoor_popn
lesotho,Maseru,Sep 2021,111,434,422,57,391000000.0,352378344,13815000000.0,208,240,24293
lesotho,Maseru,Oct 2021,111,426,377,105,350000000.0,319600802,9493000000.0,286,258,10363
lesotho,Maseru,Nov 2021,111,372,332,95,422000000.0,398314195,8263000000.0,269,240,26139
lesotho,Maseru,Dec 2021,111,300,260,68,547000000.0,507193092,15260000000.0,211,257,19782
lesotho,Maseru,Jan 2022,158,268,242,40,482000000.0,372070860,11830000000.0,252,161,32145
lesotho,Maseru,Feb 2022,158,228,197,91,477000000.0,430702377,14746000000.0,284,248,14200
lesotho,Maseru,Mar 2022,158,538,486,48,533000000.0,419511544,12494000000.0,258,217,31120
lesotho,Maseru,Apr 2022,158,514,443,75,513000000.0,448889665,8959000000.0,241,299,36067
lesotho,Maseru,May 2022,158,473,423,30,451000000.0,348119578,11916000000.0,216,184,7552
lesotho,Maseru,Jun 2022,158,569,529,76,429000000.0,340146741,12994000000.0,235,232,32850
lesotho,Maseru,Jul 2022,158,229,213,50,475000000.0,391554151,13678000000.0,238,201,14559
lesotho,Maseru,Aug 2022,158,317,301,31,530000000.0,440575826,12944000000.0,279,242,17209
lesotho,Maseru,Sep 2022,158,571,522,74,500000000.0,379600485,15727000000.0,271,244,31934
lesotho,Maseru,Oct 2022,158,635,597,51,417000000.0,362770230,14089000000.0,264,221,21655
lesotho,Maseru,Nov 2022,158,448,434,81,534000000.0,409130055,10834000000.0,239,180,16780
lesotho,Maseru,Dec 2022,158,342,332,67,506000000.0,420976534,14655000000.0,282,252,29697
lesotho,Maseru,Jan 2023,191,635,617,110,532000000.0,434119728,13565000000.0,239,188,34210
lesotho,Maseru,Feb 2023,191,506,500,45,544000000.0,444805771,13815000000.0,265,246,12838
lesotho,Maseru,Mar 2023,191,428,402,89,466000000.0,403587964,10875000000.0,231,296,35958
lesotho,Maseru,Apr 2023,191,556,547,94,397000000.0,351183996,15577000000.0,207,268,19351
lesotho,Maseru,May 2023,191,261,233,53,410000000.0,315148305,8680000000.0,287,231,30031
lesotho,Maseru,Jun 2023,191,508,471,91,482000000.0,442618440,12144000000.0,242,278,19344
lesotho,Maseru,Jul 2023,191,457,400,47,384000000.0,295052800,13057000000.0,213,207,13579
lesotho,Maseru,Aug 2023,191,420,405,48,382000000.0,342457609,10868000000.0,269,258,23839
lesotho,Maseru,Sep 2023,191,574,516,71,366000000.0,275078404,10029000000.0,219,285,24046
lesotho,Maseru,Oct 2023,191,519,476,109,491000000.0,384031845,15911000000.0,288,198,19741
lesotho,Maseru,Nov 2023,191,390,375,96,459000000.0,386503500,15713000000.0,259,215,25546
lesotho,Maseru,Dec 2023,191,324,313,105,533000000.0,440356113,12274000000.0,243,258,8130
lesotho,Maseru,Jan 2024,138,379,340,92,498000000.0,401278987,12341000000.0,241,289,30992
lesotho,Maseru,Feb 2024,138,571,520,52,502000000.0,417731167,10892000000.0,225,272,36601
lesotho,Maseru,Mar 2024,138,610,522,91,381000000.0,325313032,12025000000.0,239,150,32257
lesotho,Maseru,Apr 2024,138,391,358,37,536000000.0,489735928,9737000000.0,230,154,11303
lesotho,Maseru,May 2024,138,483,453,76,494000000.0,453636541,14893000000.0,285,276,31586
lesotho,Maseru,Jun 2024,138,304,302,45,532000000.0,461006437,9052000000.0,217,217,37508
lesotho,Maseru,Jul 2024,138,187,186,85,403000000.0,303764123,15742000000.0,218,257,9988
lesotho,Maseru,Aug 2024,138,589,501,30,409000000.0,360253515,9288000000.0,285,264,32370
lesotho,Maseru,Sep 2024,138,455,393,110,528000000.0,459929924,13212000000.0,222,159,20690
lesotho,Maseru,Oct 2024,138,321,281,74,484000000.0,441207631,11378000000.0,241,160,19935
lesotho,Maseru,Nov 2024,138,284,279,106,459000000.0,389431922,14147000000.0,251,155,29937
lesotho,Maseru,Dec 2024,138,490,452,88,423000000.0,358348184,14062000000.0,235,178,19963
